Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5407635;2/12/2022;2 Chapinero;SAN LUIS;N/A;CL 99A 6A ESTE;Daño en redes de servicio públicos energía
5407636;2/12/2022;4 San Cristobal;20 DE JULIO;N/A;KR 7B 27 SUR 9;Electrocución
5407637;2/12/2022;6 Tunjuelito;SAN BENITO;N/A;KR 18C 59 SUR 41;Daño en redes de servicio públicos energía
5407638;2/12/2022;11 Suba;PLAZUELAS DE SAN MARTIN;N/A;DG 146 128 53;Animales Peligrosos
5407639;2/12/2022;8 Kennedy;LOS ALMENDROS;N/A;KR 97B 40A SUR 9;Caida de árbol - Pérdida de verticalidad de árbol
5407640;2/12/2022;9 Fontibon;CENTRO FONTIBON;N/A;KR 99 20C 26;Conato de incendio
5407641;2/12/2022;1 Usaquen;SAN ANTONIO NOROCCIDENTAL;N/A;CL 175 15 20;Escape de gas
5407642;2/12/2022;11 Suba;URB. PUERTO SOL;N/A;CL 143A 113C 73;Animales Peligrosos
5407643;2/12/2022;5 Usme;PARCELACION SAN PEDRO;N/A;KR 17 ESTE 80B SUR 55;Daño en redes de servicio públicos gas
5407644;2/12/2022;4 San Cristobal;BELLAVISTA SECTOR LUCERO;N/A;KR 8A ESTE 37 SUR 34;Daño en redes de servicio públicos energía
5407646;2/12/2022;11 Suba;EL BATAN;N/A;CL 123 52A 32;Caida de árbol
5407647;2/12/2022;4 San Cristobal;ALTAMIRA BOSA LINDA;N/A;CL 46A BIS SUR 13F 62;Electrocución - Contacto con redes eléctricas
5407648;2/12/2022;2 Chapinero;BOSQUE CALDERON TEJADA;N/A;CL 81 7 33;Caida de árbol
5407649;2/12/2022;15 Antonio Nariño;SAN_ANTONIO;N/A;AC 1 16 71;Animales Peligrosos
5407650;2/12/2022;2 Chapinero;CHICO NORTE;N/A;KR 94A 13 08;Caida de árbol - Caída de ramas
5407651;2/12/2022;1 Usaquen;CERROS NORTE;N/A;CL 161 3 BIS ESTE 0;Daño en redes de servicio públicos gas
5407652;2/12/2022;10 Engativa;VILLAS DE GRANADA;N/A;KR 111A 74A 46;Daño en redes de servicio públicos energía
5407653;2/12/2022;19 Ciudad Bolivar;RELLENO SANITARIO DOÑA JUANA;N/A;KILOMETRO 5 VIA AL LLANO;Caida de árbol - Pérdida de verticalidad de árbol
5407654;2/12/2022;8 Kennedy;MARIA PAZ;N/A;KR 85 5A SUR 52;Daño en redes de servicio públicos gas
5407655;2/12/2022;16 Puente Aranda;LA ALQUERIA;N/A;KR 54 43 SUR 61;Conato de incendio
5407656;2/12/2022;5 Usme;SIERRA_MORENA;N/A;KR 9 ESTE 89B SUR 16;Daño en redes de servicio públicos alcantarillado
5407657;2/12/2022;12 Barrios Unidos;12 DE OCTUBRE;N/A;KR 53 74 98;Daño en redes de servicio públicos energía
5407658;2/12/2022;2 Chapinero;LOS ROSALES;N/A;TV 1 84A 29;Caida de árbol
5407659;2/12/2022;13 Teusaquillo;LA SOLEDAD;N/A;CL 42 24 0;Caida de árbol
5407660;2/12/2022;1 Usaquen;CAOBOS SALAZAR URB. CAPRI I Y II SECTOR;N/A;CL 149 12C 56;Caida de árbol
5407661;2/12/2022;4 San Cristobal;VALPARAISO;N/A;CALLE 68 SUR KR 11 A ESTE;Desechos en via pública
5407662;2/12/2022;6 Tunjuelito;TUNJUELITO;N/A;KR 12C 59 SUR 39;Animales Peligrosos
5407663;2/12/2022;4 San Cristobal;MANAGUA;N/A;CL 39 SUR KR 7 A BIS;Desechos en via pública
5407664;2/12/2022;11 Suba;EL BATAN;N/A;KR 53 123 4;Caida de árbol - Caída de ramas
5407665;2/12/2022;8 Kennedy;LAS BRISAS_;N/A;KR 89C 42 SUR 63;Daño en redes de servicio públicos alcantarillado
5407666;2/12/2022;15 Antonio Nariño;SAN ANTONIO;N/A;KR 19 5 SUR 0;Daño en redes de servicio públicos gas
5407667;2/12/2022;19 Ciudad Bolivar;VIA EL MOCHUELO;N/A;VIA EL MOCHUELO;Caida de árbol
5407668;2/12/2022;11 Suba;CIUDAD JARDIN NORTE;N/A;CL 129 59D 78;Rescate en Espacios Confinados - En Ascensores
5407669;2/12/2022;11 Suba;PUENTE LARGO;N/A;CL 107A 54 65;Caida de árbol - Caída de ramas
5407670;2/12/2022;10 Engativa;VERACRUZ;N/A;KR 75 BIS 66A 8;Daño en redes de servicio públicos energía
5407671;2/12/2022;8 Kennedy;LAS ACACIAS_;N/A;KR 100A 41 SUR 24;Conato de incendio
5407672;2/12/2022;10 Engativa;TABORA;N/A;KR 80 74 0;Daño en redes de servicio públicos acueducto
5407673;3/12/2022;11 Suba;URB. GAVILANES;N/A;KR 141 142C 51;Quemas - Basuras
5407674;3/12/2022;10 Engativa;ENGATIVA;N/A;CL 72 111;Quemas - Basuras
5407675;3/12/2022;1 Usaquen;CAOBOS SALAZAR;N/A;CL 146 14 0;Daño en redes de servicio públicos energía
5407676;3/12/2022;19 Ciudad Bolivar;BELLA FLOR;N/A;KR 27B 72D SUR 0;Riesgo de Fenómeno de remoción en masa
